rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
cellular root	2	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	3	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	4	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	5	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	9	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	7	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	8	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	19	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	6	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	18	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	17	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	16	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	1	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	10	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	11	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	0	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	13	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	14	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	15	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	12	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	18	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	7	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	6	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	5	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	4	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	3	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	2	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	19	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	17	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	13	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	15	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	14	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	8	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	12	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	11	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	10	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	1	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	0	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	16	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	9	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
realm	0	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	17	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	11	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	4.0	na	0.0	na	na	na
realm	12	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	13	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	4.0	na	0.0	na	na	na
realm	14	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	15	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	16	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	18	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	10	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	19	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	3	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	4	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	5	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	6	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	7	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	8	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	9	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	2	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
realm	1	0.1334792067480671	0.8389606396166619	na	0.0	0.0	na	0.0	0.0	3.0	na	0.0	na	na	na
domain	0	0.1334792067480671	0.8389606396166619	0.523282	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.3496514056697194
domain	1	0.1334792067480671	0.8389606396166619	0.523814	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.3501364947714882
domain	9	0.1334792067480671	0.8389606396166619	0.527337	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.3533584792378767
domain	10	0.1334792067480671	0.8389606396166619	0.517734	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.3446138076093612
domain	11	0.1334792067480671	0.8389606396166619	0.51495	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.34210036804273014
domain	12	0.1334792067480671	0.8389606396166619	0.542371	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.3672865862123375
