rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
domain	15	0.013465357034920642	1.8252193611401548	0.008079780000000076	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11336419047065281	0.1635499554064027	0.004039895494257911	0.013497026808531746	7.076906767218603	0.008082490000000076	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11339892877346434	0.10322015322707	0.0040412450202062635
domain	14	0.013465357034920642	1.8252193611401548	0.023645349999999943	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.047440994211312225	0.06844288708350217	0.011822680970453862	0.013497026808531746	7.076906767218603	0.023646339999999943	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.047454681516597104	0.04319511260349022	0.011823170118231672
domain	10	0.013465357034920642	1.8252193611401548	0.008001189999999977	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1132227341820414	0.16334587712032045	0.004000599500674427	0.013497026808531746	7.076906767218603	0.008003429999999978	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.1132518744197517	0.10308629858587448	0.004001715020008564
domain	12	0.013465357034920642	1.8252193611401548	0.0034525800000000427	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10468201951590847	0.15102423042584284	0.0017262914328219105	0.013497026808531746	7.076906767218603	0.0034542300000000425	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10470398882910406	0.0953056778165487	0.0017271150086355961
domain	11	0.013465357034920642	1.8252193611401548	0.0008920199999999445	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.09977113683410846	0.14393932433442247	0.0004460110525860564	0.013497026808531746	7.076906767218603	0.0008947199999999445	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09980575693282784	0.09084711500344332	0.0004473604518340286
domain	16	0.013465357034920642	1.8252193611401548	0.023013669999999944	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.04895477913304216	0.07062681708305443	0.011506842536981834	0.013497026808531746	7.076906767218603	0.02301496999999994	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.048972398223223704	0.04457659788476864	0.011507485057537395
domain	13	0.013465357034920642	1.8252193611401548	0.0009375699999999743	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.09985598107088621	0.14406172869406975	0.0004687854898808241	0.013497026808531746	7.076906767218603	0.0009396399999999742	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09988307315212414	0.09091749125910129	0.00046982000469818723
domain	17	0.013465357034920642	1.8252193611401548	0.006176789999999988	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.08575965485047693	0.12372502876113221	0.003088403014405816	0.013497026808531746	7.076906767218603	0.006179969999999988	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08579990929184546	0.0780984430784622	0.00308998810543804
domain	4	0.013465357034920642	1.8252193611401548	0.00024842000000001584	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0985171400245762	0.1421301893560197	0.00012421007079974826	0.013497026808531746	7.076906767218603	0.00024955000000001585	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09853261344558173	0.08968824986022743	0.00012477500062388293
domain	19	0.013465357034920642	1.8252193611401548	0.0013647699999999486	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.09537003313980122	0.13758987386020732	0.0006823854674340194	0.013497026808531746	7.076906767218603	0.0013661199999999486	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09538827893785466	0.08682615324965787	0.0006830600068305743
domain	2	0.013465357034920642	1.8252193611401548	0.0013616499999999764	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1006715657630687	0.14523836868490636	0.0006808255889141227	0.013497026808531746	7.076906767218603	0.0013633699999999766	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10069439564344818	0.09165598881614904	0.0006816850034084133
domain	3	0.013465357034920642	1.8252193611401548	0.0065588799999999605	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11054009211772402	0.15947564271764963	0.0032794422956095868	0.013497026808531746	7.076906767218603	0.00656026999999996	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11055883794519106	0.10063499114799254	0.003280135016400655
domain	5	0.013465357034920642	1.8252193611401548	0.006018569999999945	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10952811522793143	0.15801566867725164	0.003009288596099845	0.013497026808531746	7.076906767218603	0.006020949999999945	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10955893244389871	0.09972483793779628	0.0030104750150523477
domain	6	0.013465357034920642	1.8252193611401548	0.006761409999999945	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11092109328625485	0.16002531121406197	0.0033807090737544066	0.013497026808531746	7.076906767218603	0.006763799999999946	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11095202996534378	0.1009928899483322	0.003381900033818973
