tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	0.9996271400000001	0.14336038192361114	4.5500250796078685	0.77971572	0.6	0.2571428571428571	0.36	45.0	130.0	30.0	175.0	0.21951219512195122	2.200705145701044	0.4260980332606584	0.4405661069365562
metascope_toy.profile	7	0.98340422	0.14222390048273817	3.8580036418901282	0.8078844799999998	0.5945945945945946	0.30344827586206896	0.40182648401826476	44.0	101.0	30.0	145.0	0.25142857142857145	1.2908489987356326	0.25937674497888485	0.4485978651395514
metascope_toy.profile	6	0.9969528400000001	0.14268096972658734	4.408436025895456	0.7844947400000004	0.6296296296296297	0.3128834355828221	0.4180327868852459	51.0	112.0	30.0	163.0	0.26424870466321243	2.3326852330854395	0.45795045715354915	0.44948505798516447
metascope_toy.profile	5	0.99977168	0.14172201821150804	4.482665390987874	0.7684699000000002	0.6052631578947368	0.2948717948717949	0.39655172413793105	46.0	110.0	30.0	156.0	0.24731182795698925	1.9841011850671504	0.39290252676884035	0.4310742542117688
metascope_toy.profile	4	0.99112767	0.13877553523690475	4.520248607837828	0.8064008299999998	0.5774647887323944	0.2662337662337662	0.3644444444444444	41.0	113.0	30.0	154.0	0.22282608695652173	2.264427733478527	0.44956304182680784	0.44034490109934143
metascope_toy.profile	3	0.99963459	0.1437786008617063	3.8961139757097425	0.7731922899999998	0.6103896103896104	0.29936305732484075	0.40170940170940167	47.0	110.0	30.0	157.0	0.25133689839572193	1.9661671589708658	0.38885909322112616	0.43522182819768995
metascope_toy.profile	2	0.97510093	0.14018999050595238	3.8613084470876196	0.8102445700000002	0.5945945945945946	0.2953020134228188	0.3946188340807175	44.0	105.0	30.0	149.0	0.24581005586592178	1.7772561927432455	0.35517091592921196	0.44613136487054567
metascope_toy.profile	19	0.99841133	0.1607490310605159	4.075866335892841	0.9051054499999992	0.6385542168674698	0.29120879120879123	0.39999999999999997	53.0	129.0	30.0	182.0	0.25	2.3354125330994053	0.4487720084793469	0.560114154178912
metascope_toy.profile	18	0.99963732	0.14047783656785712	4.188978469191774	0.7458454	0.6075949367088608	0.28402366863905326	0.3870967741935484	48.0	121.0	31.0	169.0	0.24	1.9219491060514473	0.37465634564293115	0.4291251525723802
metascope_toy.profile	17	0.99965041	0.14355163130674597	4.768959488889545	0.7994845099999999	0.5866666666666667	0.2430939226519337	0.34374999999999994	44.0	137.0	31.0	181.0	0.20754716981132076	1.963783033718294	0.37775976823826635	0.44848333153179226
metascope_toy.profile	16	0.9979922999999999	0.15739941847817468	4.086091189840972	0.9060345999999995	0.6153846153846154	0.28402366863905326	0.38866396761133604	48.0	121.0	30.0	169.0	0.24120603015075376	1.4772171840245096	0.28796225152111243	0.541529708016061
metascope_toy.profile	15	0.9997048700000001	0.13890575402162697	4.738689883641639	0.7826967299999997	0.6	0.2556818181818182	0.35856573705179284	45.0	131.0	30.0	176.0	0.21844660194174756	2.040458371458852	0.39463585486716046	0.43854111893738096
metascope_toy.profile	14	0.9994822800000001	0.15489285641567455	3.842706800212146	0.8469611800000003	0.620253164556962	0.30246913580246915	0.4066390041493776	49.0	113.0	30.0	162.0	0.2552083333333333	1.4912470037643317	0.2931142538642891	0.5189302038622823
metascope_toy.profile	13	0.99004536	0.14346468138095242	3.9699735235451596	0.7887147400000007	0.6133333333333333	0.3087248322147651	0.4107142857142857	46.0	103.0	29.0	149.0	0.25842696629213485	1.784504692882025	0.3566194726673543	0.45041633064534553
metascope_toy.profile	12	0.99946258	0.14601280520337306	4.519564067264628	0.81657164	0.5945945945945946	0.26506024096385544	0.3666666666666667	44.0	122.0	30.0	166.0	0.22448979591836735	2.1347799090879467	0.4176027012330283	0.46744185330290505
metascope_toy.profile	11	0.9888611399999999	0.14131198652599214	4.387073915449703	0.7833809599999998	0.5753424657534246	0.28187919463087246	0.3783783783783784	42.0	107.0	31.0	149.0	0.23333333333333334	1.7558436415711138	0.3508917830482915	0.44005960014586026
metascope_toy.profile	10	0.99947391	0.1430010693773809	4.029855022290005	0.80586223	0.6153846153846154	0.2926829268292683	0.396694214876033	48.0	116.0	30.0	164.0	0.24742268041237114	2.0346485446523843	0.39896114407067806	0.4481038078814927
metascope_toy.profile	1	0.9996602899999999	0.1437161629486111	4.270444037527493	0.8479692899999993	0.6133333333333333	0.2658959537572254	0.3709677419354838	46.0	127.0	29.0	173.0	0.22772277227722773	2.2428079551785935	0.43521852277353407	0.46782672476291964
metascope_toy.profile	8	0.99804349	0.1438908404876985	4.091198768894332	0.8313523900000003	0.5945945945945946	0.2732919254658385	0.374468085106383	44.0	117.0	30.0	161.0	0.23036649214659685	1.9067106962793585	0.3752330181432409	0.4591961699012437
metascope_toy.profile	9	0.99974385	0.14444680169464283	4.49430228861027	0.8123191100000003	0.6	0.25862068965517243	0.3614457831325301	45.0	129.0	30.0	174.0	0.22058823529411764	2.0227142789084	0.3920706721667357	0.4563026920523328
