100	4831989
1000566	5373782
1000568	1640787
1001240	4531652
1001595	4710917
100174	3524229
100177	1202374
1001822	5791022
1001994	1607695
1002107	27827857
1002227	2924133
100225	3544343
1002367	3097322
1002526	3443471
1002689	6794547
1002691	6278575
1002795	2691682
1002870	3028529
1003	5504183
1003091	4707776
1003092	5163180
1003114	6155634
1003195	8092553
1003335	10966467
1003997	2711950
1004	8421768
1004151	5232343
1004159	5163014
1004165	5356249
1004166	5486928
1004260	2917451
1004261	3871950
1004279	6809960
1004304	3268305
1004316	4767843
1004326	4811405
100469	2578157
1004901	4006485
1005665	5132919
1005667	4814900
1005740	3347494
1005925	4102882
1005926	4101660
1005928	4283675
1005944	4224028
1005945	4495067
1005994	4929751
1005995	3539047
1006006	1840348
1006155	3406292
1006576	2053097
1006623	3887629
1007089	4489996
1007095	5300052
1007096	3108242
1007097	3976892
1007098	4131404
1007099	4690373
1007511	5153215
1007676	2590556
1008152	6270521
1008153	3980410
1008305	2040210
1008307	5859353
1008308	2681146
1008457	3458160
1008459	1638559
100884	3861289
100901	957990
1009370	4323011
1010	4653048
1010610	4778267
1010611	4112158
1010676	221077
101070	3851193
101096	25732466
101098	37665308
101107	26215609
101201	37545380
101383	5006455
1014	2287133
1015	2331468
101513	558234
101564	5411334
1016997	3361078
1017	2838633
1017177	4296956
1017181	4387527
1017184	3393920
1017270	4500901
1017273	3835730
1017351	3732450
1019	2855148
102	4064562
102127	6152351
102148	2615268
102226	10470893
102227	7048779
102684	1958742
1026882	3261960
1027249	3981756
1027633	2879712
1028	4741005
1028214	5206391
102862	4023090
1028729	36973259
1028742	2888119
1028743	5431642
1028745	4037004
1028746	3416871
1028752	3883996
1028800	6455027
1029756	3653837
1031224	8109716
1031537	6204853
1031538	3561992
1031540	9994186
1031541	5174220
1031542	1532062
1031564	1465081
1031594	3093613
1031733	1628950
1031753	1594554
1032070	2108340
1032238	3037595
1032239	1969846
1032240	1915080
1032241	1915613
1032242	1462174
1032243	1782759
103232	10892772
1032476	10086809
1032480	5683123
1032623	2019124
1033730	3322119
1033731	3488964
1033733	1795828
1033734	4657724
1033736	3427329
1033739	3230817
1033740	2986769
1033741	9172134
1033743	5614755
1033744	1851340
1033802	3760335
1033806	3146160
1033810	3404505
1033846	4420856
103429	37819304
1034345	2398022
1034346	3618065
1034347	4967913
1034471	3859546
1034807	3563292
1034943	4387007
1034944	3374751
1035	4195257
1035067	6717907
1035377	4658411
1035707	8489111
1035890	5022526
1035916	5636538
1036020	5813891
1036133	5697988
1036171	5967522
1036180	6000972
1036181	4788555
1036182	10906727
103621	2513756
1036611	33126810
1036612	34381026
1036672	4423879
1036677	4064496
1036679	5088600
1036778	5918613
1036779	6128076
1036780	5279103
103725	10435448
103728	8112504
103729	7638937
103732	9721257
103733	10929570
103734	9178199
1037362	4886351
1037377	5693782
1037380	5483821
1037660	18704010
1037680	4820420
1037889	3388134
1038014	5309872
103817	3530731
103836	5765274
103838	11350886
103855	5033537
1038845	3896955
1038856	3261818
1038857	3925865
1038858	5817514
1038859	7952346
1038869	8410967
1038904	7925343
103891	2245419
103892	2236286
1038929	7137891
104087	6118567
104097	3447365
1040979	7023887
104098	2703456
104099	2997537
104100	3469460
104101	3396180
104102	3717151
1041138	7311190
1041147	6679728
1041522	5579559
1041607	15901152
1041641	3911139
1041766	2276790
1041768	2327085
1041930	2378438
104205	5606970
1042133	44015302
1042321	728586
1042376	3384629
104268	3358580
104269	4696870
1042878	8480857
1042953	3131948
1042984	8746444
1043003	26203324
1043004	25428601
1043005	25796716
1043205	3433900
104336	3568138
1043493	2973201
1044	3602162
1045004	1842238
1045317	2416785
1045501	8331878
1045558	4449795
1045773	4091819
1045774	5295570
1045775	6620053
1045776	12011312
1045854	1441470
1045855	3452554
1045858	3308048
1046043	3652280
104609	6782963
1046114	3854867
1046115	5930638
1046128	4782196
104623	4971757
104628	1682860
1046555	3924127
1046556	4402093
1046581	1146066
104662	7000708
1046627	3279329
104663	8625518
1046714	3910429
1048	3830035
1048205	9258615
1048221	4318475
1048245	4482059
1048331	5223026
1048339	5500153
1048340	3331831
1048394	3882495
1048396	3105937
1048642	2710136
1048808	3481040
1048983	5429412
1049199	3949755
104955	1752928
1049564	3637102
1049582	4111106
1049759	4223825
1049789	4395904
1049790	4457871
1049942	4409424
1050105	10908275
1050153	3285756
1050174	2692072
1050199	5447211
1050201	2052877
1050202	4233350
1051531	8053586
1051616	31747483
1051626	5121409
1051646	5540337
1051899	4322354
1052	2834560
1052014	4342625
1052096	27912799
1052145	3430181
105219	5072301
1052212	1444397
1052257	4162168
1052259	4782350
1052260	4758105
1052585	4207222
1053547	3685969
1053647	3456993
1054	3788226
1054033	3209085
1054034	2810923
1054041	2693691
105420	8418219
1054202	3868365
105422	8457280
1054297	4712543
1054460	2195458
1054497	4037198
1054498	3709303
1054550	4183861
1054860	7458334
1054862	8955726
1054972	4514970
1054996	4080216
1055104	4140784
1055231	3593489
1055468	5765207
1055469	6565722
105559	3373286
105612	1683308
1056495	1546846
1056496	4755882
1056511	5536962
1056512	5555590
1056807	2574276
1056982	3779262
1057	4076754
105751	4751295
1058	5386125
105841	3284789
105843	3194235
105984	25479456
106147	2442394
106207	2342634
106370	5433628
106412	10782574
1064514	5693679
1064518	5613803
1064535	2478942
1064539	7682393
106592	7267502
1066	3854478
106634	2969361
106648	4729151
106649	4648418
106654	4101087
1067	3617966
1068590	1376743
1068975	4140558
1068978	7237391
1068980	9111009
1069080	2085243
1069081	1940884
1069082	3607771
1069083	1249385
1069116	4944439
1069117	4657628
1069161	3300252
1069201	37287723
1069220	4155701
1069221	3936223
1069448	5558097
1069534	2066652
1069680	7501343
1069813	3496200
1069963	3323277
1069980	3493790
1069985	6358642
1069987	4055944
1070130	938041
1070319	1726950
1070421	1962451
1070424	9111823
1070431	3921994
1070780	37565501
1070861	8989662
1070866	8042029
1070870	4740866
1070872	4425720
1071	7248147
1071052	4371228
1071053	4362587
1071054	4689432
1071378	13527580
1071380	14048593
1071381	12115070
1071382	11130140
1071383	10845821
1071679	6650744
1071718	4546704
1071719	5244990
